Gene	sgRNA	Day14|beta	Day14|z	Day14|p-value	Day14|fdr	Day14|wald-p-value	Day14|wald-fdr	Mouse|beta	Mouse|z	Mouse|p-value	Mouse|fdr	Mouse|wald-p-value	Mouse|wald-fdr
NAGLU	10	-0.8682	-4.0211	0	0	5.7927e-05	0.00038936	-0.98661	-4.5686	0	0	4.91e-06	4.9193e-05
CD36	10	-0.44352	-2.5015	0.0037665	0.0082645	0.012367	0.030975	-0.45407	-2.561	0.0037665	0.012579	0.010437	0.034703
KIAA1324L	10	-0.57131	-3.1092	0.0018832	0.0054945	0.0018758	0.0068221	-0.2819	-1.5349	0.039548	0.10096	0.12481	0.27162
RING1	10	-0.99001	-5.189	0	0	2.1146e-07	3.5089e-06	-0.50161	-2.6336	0.0037665	0.012579	0.008449	0.029323
CDH17	10	-0.35895	-2.6717	0.0037665	0.0082645	0.0075459	0.021313	-0.38501	-2.8657	0.0056497	0.016667	0.0041615	0.016013
GPC1	10	-0.3175	-2.2015	0.013183	0.025362	0.027702	0.061139	-0.63568	-4.4037	0.0018832	0.0087719	1.064e-05	9.2624e-05
SLIRP	10	-0.82579	-3.9383	0	0	8.2072e-05	0.00051881	-1.0875	-5.1822	0	0	2.1929e-07	3.6389e-06
TERF2IP	10	-0.43106	-3.4458	0.0037665	0.0082645	0.00056944	0.0023998	-0.12408	-0.99194	0.17137	0.30435	0.32122	0.48257
TSTA3	10	-0.82531	-4.299	0	0	1.7159e-05	0.00014463	-1.0632	-5.5349	0	0	3.1138e-08	6.8894e-07
CAMKV	10	-0.20043	-1.1207	0.067797	0.10909	0.26243	0.41228	-0.02608	-0.14585	0.37665	0.54201	0.88404	0.9282
ARHGAP27P1-BPTFP1-KPNA2P3	10	-0.9333	-4.4852	0	0	7.2855e-06	7.1641e-05	-1.1497	-5.5186	0	0	3.4178e-08	7.1665e-07
DNM1	10	-0.76704	-4.4676	0.0018832	0.0054945	7.9087e-06	7.3676e-05	-0.66978	-3.9019	0.0018832	0.0087719	9.544e-05	0.00066682
ROR1	10	-0.30578	-1.9969	0.013183	0.025362	0.04584	0.09583	-0.14881	-0.97186	0.13936	0.25965	0.33112	0.48976
USP6	10	-0.95478	-4.7526	0	0	2.0077e-06	2.3691e-05	-0.86869	-4.3366	0	0	1.4469e-05	0.0001182
SPATA4	10	-0.09623	-0.64963	0.27495	0.37824	0.51593	0.68319	-0.0086601	-0.058469	0.42185	0.5829	0.95337	0.97512
ADO	10	-0.44921	-2.5273	0.0037665	0.0082645	0.011496	0.029347	-0.8193	-4.5985	0	0	4.2552e-06	4.3453e-05
KIF21B	10	-0.57521	-3.4921	0.0018832	0.0054945	0.00047917	0.0021203	-0.53744	-3.2635	0.0037665	0.012579	0.0011003	0.0052164
TP53I13	10	-1.4609	-6.4993	0	0	8.0701e-11	7.142e-09	-1.2704	-5.6563	0	0	1.5466e-08	3.8121e-07
CALML5	10	-0.35969	-2.4425	0.0037665	0.0082645	0.014587	0.035531	-0.31155	-2.1164	0.028249	0.076142	0.034307	0.093821
TAF4	10	-1.0499	-4.4741	0	0	7.6749e-06	7.2774e-05	-1.0097	-4.3086	0	0	1.6431e-05	0.00013022
PPM1N	10	-0.57987	-3.8709	0.0018832	0.0054945	0.00010843	0.00063971	-0.72076	-4.8105	0	0	1.5058e-06	1.7382e-05
NKX6-2	10	-0.72321	-4.0426	0.0018832	0.0054945	5.2858e-05	0.00036451	-1.0898	-6.0856	0	0	1.1609e-09	4.4032e-08
SPECC1L	10	-0.51406	-3.5371	0.0018832	0.0054945	0.00040452	0.0018359	-0.53018	-3.6481	0.0037665	0.012579	0.00026417	0.0016046
SRSF2	10	-1.4874	-5.7369	0	0	9.6438e-09	2.6745e-07	-1.4637	-5.6494	0	0	1.6098e-08	3.8121e-07
CDS1	10	-0.027083	-0.18393	0.63842	0.73536	0.85407	0.94585	0.21579	1.4656	0.69492	0.81278	0.14275	0.29645
UCK2	10	-0.23756	-0.69507	0.041431	0.071661	0.48701	0.65635	-0.062261	-0.18268	0.29002	0.45562	0.85505	0.90668
CSTB	10	-0.53208	-3.0109	0.0018832	0.0054945	0.0026044	0.0087527	-0.8041	-4.5484	0	0	5.4058e-06	5.2191e-05
TINF2	10	-0.86875	-4.1682	0	0	3.0703e-05	0.00023291	-1.1089	-5.3165	0	0	1.0579e-07	2.0063e-06
WWP2	10	-0.3987	-2.3211	0.0037665	0.0082645	0.020282	0.046825	0.32042	1.8659	0.34087	0.51124	0.062049	0.15634
PRPF19	10	-1.9394	-6.9507	0	0	3.636e-12	4.8269e-10	-1.8174	-6.5821	0	0	4.6384e-11	3.0787e-09
OLIG3	9	0.10958	0.58399	0.32203	0.43182	0.55923	0.72604	0.27289	1.4563	0.51036	0.66422	0.1453	0.29906
LY6K	10	-0.34855	-2.4991	0.007533	0.015564	0.012452	0.031043	-0.19194	-1.3763	0.084746	0.17717	0.16873	0.32699
NKIRAS1	10	-0.31298	-0.92555	0.013183	0.025362	0.35468	0.51178	0.58255	1.7233	0.039548	0.10096	0.08484	0.20153
ZDHHC8	10	-0.54294	-3.702	0.0018832	0.0054945	0.00021394	0.0011029	-0.43782	-2.9854	0.0056497	0.016667	0.0028324	0.011481
SORD	10	-0.34737	-2.0455	0.007533	0.015564	0.040802	0.086663	-0.014314	-0.084331	0.40301	0.56764	0.93279	0.96232
NFATC2IP	10	-0.77954	-3.3635	0	0	0.00076958	0.0031194	-0.69729	-3.0102	0.0018832	0.0087719	0.0026111	0.010748
HIST1H4I	10	-0.74214	-3.8501	0.0018832	0.0054945	0.00011808	0.00068903	-0.5374	-2.7908	0.0037665	0.012579	0.0052576	0.019523
RNF135	10	-0.4588	-3.0948	0.0037665	0.0082645	0.0019696	0.007033	-0.36596	-2.4697	0.007533	0.021978	0.013524	0.042746
GRINA	10	-0.58668	-2.921	0.0018832	0.0054945	0.0034886	0.011295	-0.27947	-1.392	0.039548	0.10096	0.16393	0.32203
CLTB	10	-0.40315	-1.9841	0.0037665	0.0082645	0.047245	0.097996	-0.46018	-2.2648	0.0037665	0.012579	0.023524	0.069784
CERCAM	10	-0.34863	-2.3448	0.007533	0.015564	0.019037	0.044143	-0.44145	-2.9689	0.0056497	0.016667	0.0029891	0.011934
CTNNB1	10	-0.35265	-1.6595	0.0056497	0.012295	0.097019	0.18076	-0.041477	-0.19537	0.34275	0.51124	0.8451	0.9011
PPP1R3E	10	-0.74967	-3.6539	0.0018832	0.0054945	0.00025829	0.0013062	-0.23829	-1.1653	0.052731	0.12121	0.24389	0.40982
NR5A1	10	-0.33213	-1.8261	0.007533	0.015564	0.06783	0.13389	-0.21384	-1.1762	0.065913	0.14403	0.23952	0.40714
HIST1H2AM	10	-0.92615	-5.4054	0	0	6.4676e-08	1.2632e-06	-0.7906	-4.6173	0	0	3.8883e-06	4.0484e-05
PPM1D	10	-1.3452	-5.03	0	0	4.9055e-07	6.512e-06	-1.3501	-5.0512	0	0	4.3915e-07	6.3024e-06
TLCD1	10	-0.96163	-4.5376	0	0	5.6897e-06	5.8101e-05	-0.95481	-4.5158	0	0	6.3086e-06	5.7756e-05
STRBP	10	-0.38036	-2.5834	0.0037665	0.0082645	0.0097838	0.025976	-0.2427	-1.6493	0.050847	0.11894	0.099087	0.22679
LMNB1	10	-0.47679	-3.2731	0.0018832	0.0054945	0.0010637	0.004123	-0.4871	-3.3437	0.0037665	0.012579	0.00082673	0.0041415
OVGP1	10	-0.2304	-1.6695	0.048964	0.083067	0.09502	0.17766	-0.18933	-1.3719	0.088512	0.18288	0.1701	0.32726
SSX3	10	-0.84341	-4.5729	0	0	4.8092e-06	5.0072e-05	-0.52353	-2.8413	0.0037665	0.012579	0.0044927	0.017163
PSAT1	10	-0.41396	-1.5556	0.0037665	0.0082645	0.11981	0.21278	-0.4345	-1.6353	0.0056497	0.016667	0.10198	0.23141
GRM7	10	-0.43092	-2.2705	0.0037665	0.0082645	0.023179	0.052374	-0.18202	-0.95924	0.092279	0.18919	0.33744	0.49497
ATRX	10	-0.44639	-2.6465	0.0037665	0.0082645	0.0081327	0.022375	-0.57754	-3.4237	0.0037665	0.012579	0.00061784	0.0032807
TYW1	10	-0.96297	-4.6331	0	0	3.6027e-06	3.9042e-05	-0.66299	-3.1956	0.0018832	0.0087719	0.0013956	0.0063337
GPR20	10	-0.49274	-2.8767	0.0018832	0.0054945	0.004019	0.012779	-0.72796	-4.2488	0	0	2.1495e-05	0.00016542
STAT5A	10	-0.62818	-3.5105	0.0018832	0.0054945	0.00044726	0.0019958	-0.75662	-4.2276	0	0	2.3617e-05	0.00017916
PON2	10	-0.061254	-0.45992	0.44633	0.56028	0.64557	0.80849	0.19604	1.4722	0.76648	0.85684	0.14096	0.29486
TRIM5	10	-0.23542	-1.9509	0.043315	0.073955	0.051065	0.10349	-0.3825	-3.1692	0.0056497	0.016667	0.0015284	0.0066521
RTEL1-TNFRSF6B	10	-0.79268	-4.286	0	0	1.819e-05	0.00015092	-0.95236	-5.1471	0	0	2.6452e-07	4.2564e-06
RNF2	9	-0.37971	-1.7439	0.0018832	0.0054945	0.081173	0.15497	0.14218	0.65321	0.96987	0.98095	0.51362	0.65217
TMEM184A	10	-0.62322	-4.13	0.0018832	0.0054945	3.6282e-05	0.00027135	-0.47777	-3.1664	0.0037665	0.012579	0.0015435	0.0066633
PTPRE	10	-0.45205	-2.272	0.0037665	0.0082645	0.023085	0.052374	-0.51711	-2.599	0.0037665	0.012579	0.0093504	0.031827
TANGO2	10	-0.3973	-2.5447	0.0037665	0.0082645	0.010937	0.028329	-0.31742	-2.0337	0.024482	0.06701	0.041982	0.11146
SPTBN5	10	-0.33881	-2.402	0.007533	0.015564	0.016305	0.038479	0.077038	0.54651	0.7533	0.84958	0.58472	0.70565
TMEM175	10	-0.52951	-2.7306	0.0018832	0.0054945	0.0063228	0.018247	-0.22023	-1.1366	0.05838	0.13025	0.25571	0.42791
MFSD14B	10	-0.44777	-2.3178	0.0037665	0.0082645	0.020458	0.047027	-0.014031	-0.072646	0.4049	0.56878	0.94209	0.9676
UAP1L1	10	-0.38959	-2.4395	0.0037665	0.0082645	0.014709	0.035664	-0.77904	-4.8748	0	0	1.0893e-06	1.3771e-05
ZBTB12	10	-0.40724	-2.4134	0.0037665	0.0082645	0.015806	0.037468	-0.26573	-1.5754	0.043315	0.1055	0.11516	0.25586
TRPT1	10	-0.71391	-4.0285	0.0018832	0.0054945	5.6123e-05	0.00038207	-0.23265	-1.3143	0.052731	0.12121	0.18874	0.35164
TMEM130	10	-0.66237	-3.6164	0.0018832	0.0054945	0.00029874	0.0014164	-0.69638	-3.8022	0.0018832	0.0087719	0.00014339	0.00098885
HBM	10	-0.78102	-3.7522	0	0	0.00017529	0.0009402	-0.98492	-4.7289	0	0	2.2574e-06	2.4972e-05
BRWD1	10	-0.37285	-2.623	0.0037665	0.0082645	0.0087147	0.023607	-0.26107	-1.8369	0.045198	0.10762	0.066226	0.16433
CDKN2AIP	10	-0.23804	-1.6743	0.041431	0.071661	0.094077	0.17714	-0.23756	-1.6713	0.052731	0.12121	0.094661	0.22046
ABCC6	10	-0.49826	-3.075	0.0018832	0.0054945	0.0021048	0.007353	-0.55249	-3.4099	0.0037665	0.012579	0.00064993	0.003417
MDM4	10	-1.7463	-6.3048	0	0	2.8851e-10	2.1885e-08	-1.6827	-6.1093	0	0	1.001e-09	4.0886e-08
NAPRT	10	-0.57607	-3.2339	0.0018832	0.0054945	0.0012209	0.004698	-0.50328	-2.8264	0.0037665	0.012579	0.0047073	0.017823
INPP5E	10	-0.4499	-2.8981	0.0037665	0.0082645	0.0037546	0.01201	0.072297	0.4658	0.74011	0.84698	0.64136	0.74521
MICALL2	10	-0.55825	-3.0902	0.0018832	0.0054945	0.002	0.007033	-0.39421	-2.1842	0.0056497	0.016667	0.028948	0.082199
OTUD6B	10	-0.53293	-2.5783	0.0018832	0.0054945	0.0099301	0.026213	-0.64899	-3.1392	0.0018832	0.0087719	0.0016943	0.0072555
EIF4EBP2	10	-0.69247	-4.1042	0.0018832	0.0054945	4.0574e-05	0.00029924	-0.70196	-4.1603	0	0	3.1781e-05	0.00023439
UTY	10	0.107	0.46151	0.31073	0.41985	0.64443	0.80849	0.54255	2.3405	0.060264	0.13333	0.01926	0.05946
HAGHL	10	-0.53824	-3.0276	0.0018832	0.0054945	0.002465	0.0084996	-0.47244	-2.6577	0.0037665	0.012579	0.0078673	0.02785
SAE1	10	-1.5062	-6.2785	0	0	3.4189e-10	2.2693e-08	-1.4056	-5.8698	0	0	4.3624e-09	1.3461e-07
KIFC2	10	-0.33407	-1.9913	0.007533	0.015564	0.046443	0.09671	-0.5066	-3.019	0.0037665	0.012579	0.0025359	0.01052
NRN1	8	-0.37421	-1.8677	0.007533	0.015564	0.061797	0.12336	-0.074261	-0.37077	0.34275	0.51124	0.71081	0.80306
AAMP	10	-1.4583	-5.7295	0	0	1.0074e-08	2.6745e-07	-1.3035	-5.1274	0	0	2.9377e-07	4.4956e-06
CDC42EP1	10	-0.56026	-3.4614	0.0018832	0.0054945	0.0005373	0.0022868	-0.24148	-1.4924	0.050847	0.11894	0.13561	0.28919
DBP	10	-0.67	-3.921	0.0018832	0.0054945	8.8164e-05	0.00053811	-0.22564	-1.3215	0.056497	0.12658	0.18634	0.34963
UBXN6	10	-0.5516	-2.7829	0.0018832	0.0054945	0.005387	0.01607	-0.72247	-3.6435	0	0	0.00026895	0.0016046
SS18	10	-1.4354	-5.5333	0	0	3.1433e-08	6.9544e-07	-1.8611	-7.1329	0	0	9.8264e-13	8.6963e-11
TGFBRAP1	10	-0.75241	-4.24	0.0018832	0.0054945	2.235e-05	0.00017713	-0.59615	-3.3618	0.0018832	0.0087719	0.00077429	0.0039917
BACE1	10	-0.72395	-3.9163	0.0018832	0.0054945	8.9923e-05	0.0005426	-0.5898	-3.1915	0.0018832	0.0087719	0.0014152	0.0063365
AP1S2	10	-0.30622	-1.9302	0.013183	0.025362	0.053585	0.10819	-0.15796	-0.99591	0.12994	0.24382	0.31929	0.48257
MTHFD1L	10	-0.24528	-1.3298	0.037665	0.066225	0.18358	0.30946	-0.26694	-1.4477	0.041431	0.10138	0.14771	0.30168
SPTAN1	10	-0.38537	-2.669	0.0037665	0.0082645	0.0076084	0.021376	-0.1455	-1.0081	0.14124	0.26042	0.31339	0.48257
TES	10	-0.46715	-2.8654	0.0037665	0.0082645	0.0041648	0.013003	-0.44773	-2.7465	0.0037665	0.012579	0.0060232	0.021906
FAM71F2	10	-0.34255	-1.3818	0.007533	0.015564	0.16704	0.28706	-0.015616	-0.0633	0.40301	0.56764	0.94953	0.97336
ACOT8	10	-0.24767	-1.1574	0.037665	0.066225	0.24713	0.39182	-0.030668	-0.14365	0.36911	0.53406	0.88578	0.9282
FAM69A	10	-0.41367	-2.8535	0.0037665	0.0082645	0.0043238	0.013317	-0.30328	-2.0923	0.028249	0.076142	0.036409	0.098242
C8orf88	10	-0.26855	-1.8041	0.028249	0.051546	0.071219	0.13955	-0.68882	-4.6265	0.0018832	0.0087719	3.7184e-06	4.0295e-05
TXK	10	-0.21506	-1.2454	0.060264	0.098765	0.21297	0.34771	-0.11032	-0.639	0.19021	0.32581	0.52282	0.65943
HIST3H2BB	10	-1.1964	-5.8405	0	0	5.2052e-09	1.5355e-07	-1.4252	-6.9513	0	0	3.6187e-12	2.745e-10
C16orf74	10	-0.56346	-3.786	0.0018832	0.0054945	0.00015308	0.00084672	-0.18038	-1.2128	0.096045	0.1954	0.22521	0.39862
UBE2E1	10	-0.5374	-2.8406	0.0018832	0.0054945	0.0045022	0.013739	-0.061894	-0.32749	0.29002	0.45562	0.7433	0.82781
RASD2	10	-0.42273	-2.5047	0.0037665	0.0082645	0.012254	0.030975	-0.079837	-0.47345	0.25047	0.40549	0.63589	0.74211
SLC25A4	10	-0.3927	-1.9523	0.0037665	0.0082645	0.050901	0.10349	-0.096881	-0.48171	0.20716	0.3481	0.63001	0.74012
MAT2B	10	-0.60218	-3.1859	0.0018832	0.0054945	0.0014429	0.0053207	-0.22946	-1.2147	0.056497	0.12658	0.22447	0.39862
PRDM7	10	-0.86885	-4.242	0	0	2.2157e-05	0.00017713	-0.60887	-2.9816	0.0018832	0.0087719	0.002867	0.011533
PTPRU	10	-0.23711	-1.8569	0.043315	0.073955	0.063325	0.12594	-0.19464	-1.5244	0.080979	0.17131	0.12741	0.27615
SUMO1P3	10	-1.3109	-5.6908	0	0	1.2644e-08	3.1972e-07	-1.1459	-4.9802	0	0	6.3529e-07	8.6498e-06
DYDC1	10	-0.18146	-1.3351	0.090395	0.14243	0.18183	0.30749	0.058565	0.43099	0.67797	0.8	0.66647	0.76436
EIF2AK1	10	-0.54059	-2.6764	0.0018832	0.0054945	0.0074409	0.021129	-0.058083	-0.28771	0.29944	0.46628	0.77357	0.85398
FRG1	10	-0.44658	-2.7282	0.0037665	0.0082645	0.0063685	0.018279	-0.33828	-2.0674	0.020716	0.057292	0.038694	0.10377
ERC1	10	-0.020663	-0.1892	0.6968	0.78224	0.84994	0.94585	-0.14152	-1.2958	0.15254	0.27645	0.19505	0.35963
SUMO2	10	-1.8245	-6.242	0	0	4.3191e-10	2.5483e-08	-1.6427	-5.6451	0	0	1.6512e-08	3.8121e-07
FRG2	10	-1.6523	-7.1701	0	0	7.4949e-13	1.3266e-10	-2.3024	-9.896	0	0	4.3344e-23	2.3016e-20
CD9	10	-0.43081	-3.0034	0.0037665	0.0082645	0.0026699	0.0088813	-0.39273	-2.7384	0.0056497	0.016667	0.0061747	0.022305
ARFGAP3	10	-0.1558	-1.3425	0.12429	0.18857	0.17942	0.30635	0.17093	1.4731	0.88512	0.93254	0.14073	0.29486
C8orf82	10	-1.241	-5.509	0	0	3.6087e-08	7.6649e-07	-1.7055	-7.539	0	0	4.7377e-14	8.3857e-12
SMARCD1	10	-1.1988	-5.967	0	0	2.417e-09	1.0001e-07	-0.96389	-4.8056	0	0	1.543e-06	1.7433e-05
TRPA1	10	-0.33155	-2.6648	0.007533	0.015564	0.0077024	0.021526	-0.49047	-3.9416	0.0037665	0.012579	8.0923e-05	0.00057294
GTPBP2	10	-1.1379	-5.3141	0	0	1.0718e-07	1.9626e-06	-1.2201	-5.6972	0	0	1.2178e-08	3.4035e-07
TUSC2	9	-0.64536	-3.2818	0	0	0.0010316	0.0040373	-0.59586	-3.0311	0	0	0.0024366	0.01026
CCND2	10	-0.81991	-3.9484	0	0	7.8692e-05	0.00050344	-0.90803	-4.3723	0	0	1.2294e-05	0.0001048
MPRIP	10	-0.78961	-4.3646	0	0	1.2736e-05	0.00011463	-0.7982	-4.4125	0	0	1.0219e-05	9.0437e-05
SMAD9	10	-0.33292	-1.6699	0.007533	0.015564	0.094936	0.17766	-0.044637	-0.2241	0.3371	0.50708	0.82268	0.8843
MLC1	10	-0.37767	-2.9094	0.0037665	0.0082645	0.003621	0.011653	-0.24721	-1.9045	0.048964	0.11607	0.056851	0.14726
TADA2B	10	-0.75824	-3.9817	0.0018832	0.0054945	6.8418e-05	0.00044305	-0.43928	-2.311	0.0056497	0.016667	0.020833	0.062854
CYP2W1	10	-0.11768	-0.78175	0.20527	0.2938	0.43436	0.60221	0.076231	0.50663	0.74953	0.84958	0.61241	0.72883
SVIL	10	-0.22642	-1.5911	0.052731	0.088328	0.11158	0.20257	-0.27245	-1.9146	0.041431	0.10138	0.055548	0.14459
HPN	10	-1.2735	-5.1517	0	0	2.5817e-07	4.032e-06	-1.0156	-4.1225	0	0	3.7481e-05	0.00026895
PLAU	10	-0.38712	-2.0746	0.0037665	0.0082645	0.03802	0.081079	-0.19234	-1.0313	0.084746	0.17717	0.30242	0.47092
STUM	10	-0.58278	-3.3505	0.0018832	0.0054945	0.00080654	0.0032445	-0.47904	-2.7585	0.0037665	0.012579	0.0058067	0.021265
CORO1A	10	-0.48653	-2.6391	0.0018832	0.0054945	0.0083115	0.022633	-0.4719	-2.5604	0.0037665	0.012579	0.010457	0.034703
ZBTB34	10	-0.69195	-3.7203	0.0018832	0.0054945	0.00019898	0.0010421	-0.10762	-0.5788	0.19021	0.32581	0.56272	0.69328
AMBP	10	-0.15038	-1.1585	0.12994	0.19547	0.24666	0.39182	-0.0060933	-0.046947	0.42561	0.58398	0.96256	0.97668
PAOX	10	-0.4002	-2.1401	0.0037665	0.0082645	0.032349	0.069827	-0.5283	-2.8247	0.0037665	0.012579	0.0047327	0.017823
AGAP12P	10	-0.93334	-3.2005	0	0	0.0013721	0.0051672	-0.26303	-0.90524	0.045198	0.10762	0.36534	0.52351
SELENOO	10	-0.5241	-2.8723	0.0018832	0.0054945	0.0040748	0.012879	-0.60963	-3.3407	0.0018832	0.0087719	0.00083579	0.0041477
SLC15A3	10	-0.70794	-3.6237	0.0018832	0.0054945	0.00029046	0.0013895	-0.68367	-3.5004	0.0018832	0.0087719	0.00046463	0.002597
ESF1	10	-1.0334	-4.1976	0	0	2.6973e-05	0.00021063	-0.90323	-3.6774	0	0	0.00023561	0.0014719
UBE2I	10	-1.449	-5.8953	0	0	3.7407e-09	1.3217e-07	-1.3379	-5.466	0	0	4.6025e-08	9.0515e-07
BRD9	10	-1.4456	-5.9084	0	0	3.4541e-09	1.3101e-07	-1.0383	-4.2974	0	0	1.7279e-05	0.00013493
GPR149	10	-0.23606	-1.4441	0.043315	0.073955	0.14871	0.25976	-0.27044	-1.6546	0.041431	0.10138	0.098009	0.22529
STIM2	10	-0.228	-0.96485	0.050847	0.085714	0.33462	0.49402	0.0026191	0.011089	0.45951	0.61772	0.99115	0.99137
RNF212	10	-0.58244	-3.8933	0.0018832	0.0054945	9.8886e-05	0.00058998	-0.40579	-2.7134	0.0056497	0.016667	0.0066587	0.02389
SYNJ1	10	-0.20814	-0.93755	0.06403	0.10398	0.34847	0.50952	0.13153	0.59255	0.9548	0.97313	0.55348	0.68668
ETNPPL	10	-0.21494	-1.7789	0.060264	0.098765	0.075264	0.14586	-0.27207	-2.2515	0.041431	0.10138	0.024352	0.071838
CHRNB3	10	-0.35308	-2.1734	0.0056497	0.012295	0.02975	0.064927	-0.029544	-0.18217	0.36911	0.53406	0.85545	0.90668
PCGF3	10	-1.2759	-5.2903	0	0	1.2212e-07	2.1615e-06	-1.2203	-5.069	0	0	3.9982e-07	5.8974e-06
NME3	10	-0.66548	-3.6481	0.0018832	0.0054945	0.00026416	0.0013079	-0.34638	-1.9005	0.015066	0.043011	0.057365	0.14787
SPATA33	10	-0.28948	-2.2345	0.016949	0.03169	0.025452	0.05698	-0.27504	-2.1231	0.041431	0.10138	0.033747	0.093497
AGFG2	10	-0.46196	-2.6214	0.0037665	0.0082645	0.008758	0.023607	-0.40891	-2.321	0.0056497	0.016667	0.020289	0.061563
PPP1R27	10	-0.29037	-1.5568	0.016949	0.03169	0.11952	0.21278	0.12151	0.65168	0.91337	0.94912	0.51461	0.65217
WIPI2	10	-0.64686	-4.4001	0.0018832	0.0054945	1.0822e-05	9.9078e-05	-0.52153	-3.5479	0.0037665	0.012579	0.00038829	0.002217
WDR38	10	-0.70899	-3.9241	0.0018832	0.0054945	8.7058e-05	0.00053753	-0.27291	-1.5125	0.041431	0.10138	0.1304	0.28148
BMPR2	10	-0.22207	-0.38228	0.05838	0.096875	0.70226	0.84366	1.3209	2.2743	0	0	0.022948	0.068457
MTRNR2L3	6	-1.5311	-5.9649	0	0	2.4483e-09	1.0001e-07	-1.165	-4.542	0	0	5.5729e-06	5.2843e-05
